"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Zhou Z.; Huang H.","Zhou, Zhuokai (60498287100); Huang, Hui (55738326900)","60498287100; 55738326900","A Comparative Study on Customer Churn Prediction for Commercial Banks Using Machine Learning Models","2025","2025 4th International Conference on Cloud Computing, Big Data Application and Software Engineering, CBASE 2025","","","","296","300","0","10.1109/CBASE67452.2025.11335549","https://www.scopus.com/pages/publications/105033455245?origin=resultslist","University of Mining and Technology Beijing, School of Management China, Beijing, China","Zhou Z., University of Mining and Technology Beijing, School of Management China, Beijing, China; Huang H., University of Mining and Technology Beijing, School of Management China, Beijing, China","Customer churn is a critical challenge eroding the profitability of commercial banks. This study conducts a comparative analysis of four machine learning models-Logistic Regression, Decision Tree, Random Forest, and XGBoost-to predict customer churn using a real-world banking dataset. After a systematic hyperparameter optimization process involving grid search and cross-validation, the XGBoost model demonstrated superior predictive performance, achieving an Area Under the Curve (AUC) of 0.8761 and an F1-score of 0.6060. Feature importance analysis of the best-performing model revealed that customer age, activity status, and the number of held products are key predictors of churn. These findings provide actionable, datadriven insights for financial institutions to develop more effective, persona-based customer retention strategies and improve resource allocation.  © 2025 IEEE.","commercial banking; comparative study; customer churn prediction; machine learning; random forest; XGBoost","Banking; Curve fitting; Customer satisfaction; Forecasting; Learning systems; Logistic regression; Machine learning; Optimization; Random forests; Sales; Commercial bank; Commercial banking; Comparatives studies; Critical challenges; Customer churn prediction; Customer churns; Machine learning models; Machine-learning; Random forests; Xgboost; Decision trees","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105033455245"
"Thu Thuy P.T.; Thanh B.C.","Thu Thuy, Pham Thi (35213820500); Thanh, Bui Chi (60201142400)","35213820500; 60201142400","Ontology-Driven Customer Churn Prediction: Integrating Knowledge Graphs and Rules for Interpretable Retention Analytics","2025","International Conference on Big Data and Information Analytics, BigDIA","","2025","","629","636","0","10.1109/BigDIA68682.2025.11382726","https://www.scopus.com/pages/publications/105034872614?origin=resultslist","Nha Trang University, Viet Nam","Thu Thuy P.T., Nha Trang University, Viet Nam; Thanh B.C., Nha Trang University, Viet Nam","Customer churn prediction is a vital task for telecom and banking industries, but conventional machine learning models often operate as black boxes with limited interpretability. This paper presents ChurnOnt, an ontology-driven framework that integrates domain knowledge into churn prediction pipelines. We design a churn ontology covering customer, contract, and service concepts, and populate it with real-world telecom and banking datasets to build a knowledge graph. Semantic Web Rule Language (SWRL) rules encode expert knowledge and allow a reasoner to infer high-level semantic features (e.g., HighRiskCustomer). These ontology-derived features, combined with baseline attributes, are used to train machine learning models. Our experiments show that ontology-enhanced models improve recall and F1-score for churners, providing more accurate detection of customers at risk. Beyond predictive gains, the ontology also generates human-understandable explanations for churn predictions, bridging the gap between data-driven accuracy and business interpretability. This work highlights how combining symbolic reasoning with machine learning leads to more actionable and trustworthy churn analytics.  © 2025 IEEE.","Customer Churn Prediction; Interpretable Machine Learning; Knowledge Graph; Ontology; SWRL","Banking; Customer satisfaction; Forecasting; Knowledge graph; Learning systems; Machine learning; Sales; Semantic Web; Customer churn prediction; Interpretability; Interpretable machine learning; Knowledge graphs; Machine learning models; Machine-learning; Ontology's; Rules languages; Semantic web rule language; Semantic Web rules; Ontology","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105034872614"
"Parupalli A.","Parupalli, Anirudh (60577470800)","60577470800","Predicting Customer Churn in Financial Services Using Ensemble Machine Learning Models","2025","2025 Global Conference on Information Technology and Communication Networks, GITCON 2025","","","","","","0","10.1109/GITCON65266.2025.11376655","https://www.scopus.com/pages/publications/105035595211?origin=resultslist","","","The early detection of client leave is critical for the survival of banks, making customer churn forecasting a long-standing problem in the banking industry. Predicting client attrition is challenging due to the data imbalance between the churn and no-churn classification groups. This study presents an ML-based approach to utilizing the Bank Customer Churn dataset to develop an accurate churn prediction model. Several classification models, such as Artificial Neural Networks (ANN), Random Forest (RF), and k-Nearest Neighbors (KNN) were used, and their Hyperparameters were hyperparameter-optimized. An ensemble classifier using weighted soft voting was proposed by combining classifiers to achieve a performance of 99.8% accuracy and 99.49% F1-score. Models were evaluated using parameters like F1-score, accuracy, recall, and ROC-AUC. Experimental evidence demonstrates that the ensemble model significantly outperforms individual models and serves as a stable tool in proactive customer retention. Confusion matrices and ROC curves were among the visualizations that further confirmed each model's efficacy. Findings from this study suggest that ensemble learning may be a powerful data-driven tool for churn prediction, enabling financial institutions to identify high-risk customers and implement targeted retention strategies to reduce losses. © 2025 IEEE.","Bank Customer Churn Dataset; Banking Industry; Customer Churn Prediction; Customer Retention; Machine Learning","Banking; Classification (of information); Customer satisfaction; Forecasting; Learning systems; Machine learning; Motion compensation; Nearest neighbor search; Neural networks; Random forests; Bank customer churn dataset; Banking industry; Churn predictions; Customer churn prediction; Customer churns; Customer retention; F1 scores; Financial service; Hyper-parameter; Machine-learning; Sales","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105035595211"
"Ghallab H.; Nasr M.; Fahmy H.","Ghallab, Haitham (57212586035); Nasr, Mona (36701802700); Fahmy, Hanan (57212582166)","57212586035; 36701802700; 57212582166","Enhancing Customer Churn Analysis by Using Real-Time Machine Learning Model","2025","International Journal of Advanced Computer Science and Applications","16","5","","388","396","4","10.14569/IJACSA.2025.0160538","https://www.scopus.com/pages/publications/105008408426?origin=resultslist","Department of Information Systems-Faculty of Computers and Artificial Intelligence, Helwan University, Cairo, Egypt","Ghallab H., Department of Information Systems-Faculty of Computers and Artificial Intelligence, Helwan University, Cairo, Egypt; Nasr M., Department of Information Systems-Faculty of Computers and Artificial Intelligence, Helwan University, Cairo, Egypt; Fahmy H., Department of Information Systems-Faculty of Computers and Artificial Intelligence, Helwan University, Cairo, Egypt","Customer churn, the loss of customers to competitors, poses a significant challenge for businesses, particularly in competitive industries such as banking and telecommunications. As a result, several customer churn analysis models have been proposed to identify at-risk customers and enable top managers to implement strategic decisions to mitigate churn and improve customer retention. Although the existing models provide top managers with promising insights for churn prediction, they rely on a batch-based training approach using fixed datasets collected at periodic intervals. While this training approach enables existing models to perform well in relatively stable environments, they, unfortunately, struggle to adapt to dynamic settings, where customer preferences shift rapidly, especially in industries with volatile market conditions, such as banking and telecom. Where, in dynamic environments, data distribution can change significantly over short periods, disabling existing models to maintain efficiency and leading to poor predictive performance, increased misclassification rates, and suboptimal decision-making by top executives, ultimately exacerbating customer churn. To address these limitations, this research proposes RCE, a real-time, continual learning-based, ensemble learning model. RCE integrates an event-driven development approach for real-time churn analysis with a replay-based continual learning mechanism to adapt to evolving customer behaviors without catastrophic forgetting, and RCE implements a stacked ensemble learning for customer churn classification. Unlike existing models, RCE continuously processes streaming data, ensuring adaptability and generalization in fast-changing environments, and providing instantaneous insights that enable decision-makers to respond swiftly to emerging risks, market fluctuations, and customer behavior changes. RCE is evaluated using the Churn Modelling benchmark dataset for European banks, achieving performance with a 95.65% accuracy; however, in dynamic environments, RCE accomplishes an average accuracy (ACC) of 86.75% and an average forgetting rate (FR) of 13.25% across tasks Ti. The results demonstrate that RCE outperforms existing models in predictive accuracy, adaptability, and robustness across multiple tasks, especially in dynamic environments. Finally, this research discusses the proposed model’s limitations and outlines directions for future improvements in real-time customer churn analysis. © (2025), (Science and Information Organization). All Rights Reserved.","continual learning; Customer churn; event-driven development; machine learning; real-time analysis; replay-based approach; stacked ensemble learning","Behavioral research; Customer satisfaction; Electronic commerce; Machine learning; Personnel training; Sales; Telecommunication industry; Continual learning; Customer churns; Ensemble learning; Event-driven; Event-driven development; Machine-learning; Real time analysis; Real- time; Replay-based approach; Stacked ensemble learning; Benchmarking; Decision making; Learning systems","Science and Information Organization","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008408426"
"Verma B.; Khandelwal A.; Nepalia P.; Rajput A.; Varshney A.; Salunke K.; Shivhare S.; Bagal V.","Verma, Bhavya (60264927300); Khandelwal, Aryan (57904691700); Nepalia, Pranay (60264915300); Rajput, Aayushi (60264961000); Varshney, Aaditya (60264915400); Salunke, Kiran (57215902759); Shivhare, Sugam (26648961700); Bagal, Vivekanand (56367863400)","60264927300; 57904691700; 60264915300; 60264961000; 60264915400; 57215902759; 26648961700; 56367863400","Revolutionizing financial analytics: the role of artificial intelligence in market prediction, customer retention, and churn modelling","2026","Next Generation Technologies for Sustainable Development","","","","187","195","0","10.1201/9781003716648-25","https://www.scopus.com/pages/publications/105026439522?origin=resultslist","Department of Computer Science, SVKM’s NMIMS, MPSTME, Shirpur, Dist., Maharashtra, Dhule, India; Department of Computer Engineering, SVKM’s NMIMS, MPSTME, Shirpur, Dist., Maharashtra, Dhule, India","Verma B., Department of Computer Science, SVKM’s NMIMS, MPSTME, Shirpur, Dist., Maharashtra, Dhule, India; Khandelwal A., Department of Computer Science, SVKM’s NMIMS, MPSTME, Shirpur, Dist., Maharashtra, Dhule, India; Nepalia P., Department of Computer Science, SVKM’s NMIMS, MPSTME, Shirpur, Dist., Maharashtra, Dhule, India; Rajput A., Department of Computer Science, SVKM’s NMIMS, MPSTME, Shirpur, Dist., Maharashtra, Dhule, India; Varshney A., Department of Computer Engineering, SVKM’s NMIMS, MPSTME, Shirpur, Dist., Maharashtra, Dhule, India; Salunke K., Department of Computer Engineering, SVKM’s NMIMS, MPSTME, Shirpur, Dist., Maharashtra, Dhule, India; Shivhare S., Department of Computer Engineering, SVKM’s NMIMS, MPSTME, Shirpur, Dist., Maharashtra, Dhule, India; Bagal V., Department of Computer Engineering, SVKM’s NMIMS, MPSTME, Shirpur, Dist., Maharashtra, Dhule, India","In today's world, customer relationship management (CRM) analytics, real-time insights and predic-tions are empowered by artificial intelligence (AI) in the financial industry. This research investigates the implications of AI for financial datasets, market prediction, and customer retention at the same time concentrating on chum modelling. Machine leaming prototypes, enabling AI-driven algorithms, can confirm difficult, non-linear patterns in both structured and unstructured financial data to improve cred-it scoring, risk assessment, and algorithmic trading. The use of alternate data sources combined with real-time updates in AI-based tools provides dynamic insights that optimize investment strategies and mitigate risks. The paper further discusses customer churn modelling in banking by examining a data set with 10,000 customers to find the most important predictors of churn. Machine learning models are used to analyze demographic, financial and behavioural factors to create an accurate classification framework. The result intends to bring illegitimate insights into financial institutions, refining customer safeguarding policies and implementing long-term development in an AI-driven monetary ecosystem. © 2026 selection and editorial matter, Sunita R. Patil, Shyam S. Pancholi, Girdhari Lal Gupta, Preeti C. Sangave, individual chapters, the contributors.","Al-driven risk assessment; credit scoring models; customer churn prediction; financial behaviour analysis; machine learning in finance","Behavioral research; Commerce; Customer satisfaction; Forecasting; Investments; Learning systems; Machine learning; Population statistics; Public relations; Sales; Al-driven risk assessment; Behavior analysis; Credit scoring model; Customer churn prediction; Customer retention; Financial behavior analyze; Machine learning in finance; Machine-learning; Market prediction; Risks assessments; Risk assessment","CRC Press","Book chapter","Final","","Scopus","2-s2.0-105026439522"
"Agnihotri A.; Saravanakumar R.","Agnihotri, Anurag (58154660400); Saravanakumar, R. (55587425400)","58154660400; 55587425400","Customer Retention in Banking: Utilizing AI and Machine Learning for Predictive Churn Analysis","2025","Proceedings of 2025 3rd International Conference on Intelligent Systems, Advanced Computing, and Communication, ISACC 2025","","","","140","144","3","10.1109/ISACC65211.2025.10969188","https://www.scopus.com/pages/publications/105005174669?origin=resultslist","College of Vocational Studies, Delhi University, Delhi, India; Saveetha University, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Department of ECE, Chennai, India","Agnihotri A., College of Vocational Studies, Delhi University, Delhi, India; Saravanakumar R., Saveetha University, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Department of ECE, Chennai, India","Customer retention in the banking sector is a practice by which these organizations have adopted measures in order to ensure the existing clients to continue to maintain accounts with agencies. This is important for banks in particular since customer retention is normally considerably less expensive than customer acquisition. Prior studies have not been very successful in providing satisfactory explanations and means of predicting customer churn Specifically, most analyses, including traditional ML approaches, are inadequate at handling transactional data with rich behavioral patterns and temporal dependencies. This study, however, fills these gaps by adopting a hybrid model, autoencoder model and Long Short-Term Memory (LSTM) model integrated approach. The method uses the autoencoder's ability of transforming high-dimensional input data such as transaction data to a lower-dimensional form, thereby removing noise in the process and preserving useful characteristics. The next LSTM model takes into account chronological patterns examined in customers' behavior, thus making churn predictions even more precise. Worked in python, this model was trained and tested on the data-set containing numerous attributes of the transaction type effective with 99.4% accuracy. The outcomes showed better performances in comparison with conventional approaches, suggesting that DL algorithms could be very beneficial in the frameworks of the predictive analytics for customer retention in the banking industry. © 2025 IEEE.","Autoencoder; Banking; Customer Retention; Deep Learning; Long Short-Term Memory","Prediction models; Sales; Adopted measures; Auto encoders; Banking sectors; Churn analysis; Customer acquisition; Customer retention; Deep learning; Machine-learning; Memory modeling; Short term memory; Deep learning","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105005174669"
"Kabbar E.; Herath N.","Kabbar, Eltahir (15129034300); Herath, Nuwan (59958652300)","15129034300; 59958652300","Customer Churn Prediction to Enhance Customer Retention Strategies in the Banking Industry: A Study Using Seven Machine Learning Algorithms","2025","IBIMA Business Review","2025","","786386","","","0","10.5171/2025.786386","https://www.scopus.com/pages/publications/105008824946?origin=resultslist","Unitec Institute of Technology – part of Te Pūkenga, Auckland, New Zealand","Kabbar E., Unitec Institute of Technology – part of Te Pūkenga, Auckland, New Zealand; Herath N., Unitec Institute of Technology – part of Te Pūkenga, Auckland, New Zealand","This study explores machine learning approaches to predict customer churn in the banking sector. Following Dietterich’s Machine Learning Problem Research Life Cycle, six key steps were implemented: data gathering, preparation, exploratory data analysis (EDA), model creation, training, evaluation, and hyperparameter tuning. A systematic literature review identified essential machine learning techniques and innovations applied to customer churn prediction since 2014, highlighting Random Forest, Gradient Boosting, and hybrid models as practical approaches. This review also emphasized the value of advanced preprocessing and explainable AI techniques in improving model accuracy and usability. A publicly available dataset of 10,000 entries was used to evaluate seven machine learning algorithms, K-Nearest Neighbors (KNN), Support Vector Machine (SVM), Logistic Regression, Decision Tree, Random Forest, AdaBoost, and Gradient Boosting based on accuracy, precision, recall, F1 score, and ROC-AUC. Among these, the Gradient Boosting Classifier emerged as the most effective model with an accuracy of 85.2% and an ROC-AUC of 0.87, demonstrating robust performance in predicting customer churn. The findings underscore the potential of Gradient Boosting for developing reliable churn prediction systems, aiding banks in devising targeted customer retention strategies. The results of this study can benefit both academic researchers and industry practitioners. Academics can use the findings to explore advanced machine learning applications and develop new churn prediction frameworks. At the same time, practitioners, particularly in banking and related industries, can leverage the Gradient Boosting model to improve customer retention strategies and reduce revenue losses associated with churn. Future research is recommended to validate these results using dynamic datasets. © 2025 IBIMA Publishing. All rights reserved.","banking; churn rate; Gradient Boosting; machine learning","","IBIMA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008824946"
"Alkilani A.H.; Nusir M.I.","Alkilani, Amjad H. (55263477400); Nusir, Mohammad I. (57222624376)","55263477400; 57222624376","Enhanced Customer Churn Prediction in Banking: A Comparative Analysis of Machine Learning Techniques with Feature Selection and Dimensionality Reduction","2026","International Conference on Artificial Intelligence, Computer, Data Sciences, and Applications, ACDSA 2026","","","","","","0","10.1109/ACDSA67686.2026.11467799","https://www.scopus.com/pages/publications/105037662473?origin=resultslist","Forbes School of Business & Technology, University of Arizona, Global Campus, San Diego, CA, United States; Cbm Integrated Software Inc, San Diego, CA, United States","Alkilani A.H., Forbes School of Business & Technology, University of Arizona, Global Campus, San Diego, CA, United States; Nusir M.I., Cbm Integrated Software Inc, San Diego, CA, United States","Customer churn is a persisting business problem for companies seeking competitive edge through effective customer retention. In this work, we propose an end-to-end prediction framework combining the latest machine learning algorithms with effective data preprocessing, feature selection, and dimensionality reduction. Leveraging the UCI bank-additional database, we vectorize categorical attributes, perform ANOVA F-test feature selection and use Principal Component Analysis (PCA) and Truncated Singular Value Decomposition (SVD) for improved data representation. In handling inherent class imbalance, we use SMOTE oversampling and class weighting techniques for effective performance on balanced sets for all business segments. Random Forest (RF), XGBoost (XGB), and Support Vector Machine (SVM) classifiers were used and compared. The novelty of this research lies in rigorous integration of several dimensionality reduction schemes and sophisticated class imbalance handling in a hybrid preprocessing pipe enabled by the system. Experimental comparisons reveal the best performance was obtained by XGBoost at 91.18% accuracy and 0.9406 AUC-ROC value while at 91.10% accuracy and 89.60% cross-validation mean score for SVM. The system also accommodates a proprietary graphical user interface for real-time visulization by confusion matrices, ROC curve plots and feature importance plots for improved interpretability and strategic decision support for effective churn prevention. © 2026 IEEE.","Customer churn; Principal Component Analysis; Random Forest; Truncated Singular Value Decomposition; XGBoost","Classification (of information); Customer satisfaction; Decision support systems; Dimensionality reduction; Feature extraction; Graphical user interfaces; Learning algorithms; Learning systems; Reduction; Sales; Singular value decomposition; Class imbalance; Comparative analyzes; Customer churn prediction; Customer churns; Dimensionality reduction; Features selection; Principal-component analysis; Random forests; Truncated singular value decomposition; Xgboost; Principal component analysis","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105037662473"
"Fazulu K.; Subramanian E.K.","Fazulu, K. (59705322700); Subramanian, E.K. (57209473663)","59705322700; 57209473663","Performance Analysis of ResNet 50 for Accurate Prediction and Classification of Customer Churn Compared Over Convolution Neural Network","2025","AIP Conference Proceedings","3252","1","020048","","","0","10.1063/5.0259045","https://www.scopus.com/pages/publications/105000733213?origin=resultslist","Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Tamil nadu, Chennai, 602105, India","Fazulu K., Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Tamil nadu, Chennai, 602105, India; Subramanian E.K., Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Tamil nadu, Chennai, 602105, India","The major purpose of this work is to improve the accuracy of customer churn prediction and classification using Resnet 50 compared to CNN. Materials and Methods: We use CNN and ResNet50 with different training and testing splits to predict and classify client attrition. In Group 1, we have a Novel Resnet 50 with a Gpower of around 85% (g power setup parameters: =0.05 and power=0.85). Gpower for Group 2's CNN is approximately 85% (power=0.85 and g power setting parameters: =0.05). Result: Outperforming CNN (95.4130%), ResNet50 (96.4020%) shows statistically negligible variance with significance values of p=0.480 (p>0.05). ResNet50 has more accuracy as compared to CNN. © 2025 Author(s)","Banking; Convolution Neural Network; Customer churn; Machine Learning; Prediction; ResNet50","","American Institute of Physics","Conference paper","Final","","Scopus","2-s2.0-105000733213"
"Geetha S.; Arunesh S.S.; Balahariharan S.; Thangaraj R.; Deepa B.; Sowmiya M.","Geetha, S. (59174459600); Arunesh, S.S. (60555152900); Balahariharan, S. (60555386600); Thangaraj, Rajasekaran (57220032291); Deepa, B. (57215900702); Sowmiya, M. (58093236000)","59174459600; 60555152900; 60555386600; 57220032291; 57215900702; 58093236000","Prediction of Bank Customer Churn for Retention Strategies Using Machine Learning","2025","2025 17th IEEE International Conference on Computational Intelligence and Communication Networks, CICN 2025","","","","617","622","0","10.1109/CICN67655.2025.11368288","https://www.scopus.com/pages/publications/105034670481?origin=resultslist","Nandha Engineering College, Department of Computer Science and Engineering, Erode, India","Geetha S., Nandha Engineering College, Department of Computer Science and Engineering, Erode, India; Arunesh S.S., Nandha Engineering College, Department of Computer Science and Engineering, Erode, India; Balahariharan S., Nandha Engineering College, Department of Computer Science and Engineering, Erode, India; Thangaraj R., Nandha Engineering College, Department of Computer Science and Engineering, Erode, India; Deepa B., Nandha Engineering College, Department of Computer Science and Engineering, Erode, India; Sowmiya M., Nandha Engineering College, Department of Computer Science and Engineering, Erode, India","Customer churn poses a vital challenge to banks, having direct consequences on profitability and sustainable growth. This research proposes a hybrid machine learning model that combines the capabilities of KNN and LR to predict whether or not a bank customer would churn. A customer data set that included variables like credit score, tenure, account balance, and activity status was examined in order to find behavioral patterns linked to turnover. The hybrid method combines the interpretability of LR with neighborhood based decision strength of KNN and yields enhanced performance compared to using either algorithm individually. Experimental outcomes indicate that the suggested hybrid model is more accurate, precise, and recalls with higher performance, qualifying it as a better tool for early churn prediction. This research work illustrates how integrating various classification methods can provide viable solutions to improve customer retention and better inform decision-making in banking organizations. © 2025 IEEE.","accuracy metrics; bank customer attrition; banking analytics; Churn prediction; predictive modelling; retention tactics","Banking; Behavioral research; Computation theory; Customer satisfaction; Data mining; Decision making; Learning systems; Machine learning; Prediction models; Predictive analytics; Accuracy metric; Bank customer attrition; Banking analytic; Churn predictions; Customer churns; Machine-learning; Performance; Predictive models; Retention strategies; Retention tactic; Sales","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105034670481"
"Parikh V.; Savla P.; Valaki J.; Vadher V.","Parikh, Vishal (57195484767); Savla, Priyanshu (60541163400); Valaki, Jay (60540475000); Vadher, Vatsal (60541163500)","57195484767; 60541163400; 60540475000; 60541163500","Bank Customer Churn Prediction using Machine Learning","2025","16th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2025","1","","","4646","4652","0","","https://www.scopus.com/pages/publications/105034073444?origin=resultslist","Computer Science and Engineering Department, Nirma University, Ahmedabad, India","Parikh V., Computer Science and Engineering Department, Nirma University, Ahmedabad, India; Savla P., Computer Science and Engineering Department, Nirma University, Ahmedabad, India; Valaki J., Computer Science and Engineering Department, Nirma University, Ahmedabad, India; Vadher V., Computer Science and Engineering Department, Nirma University, Ahmedabad, India","The banking sector constantly changes, and the growing customer churn problem forces banks to implement proactive customer retention measures. [1] To predict and lessen the impact of bank customer churn, this term paper conducts a thorough investigation into the application of various machine learning models, such as logistic regression, support vector machines (SVM), decision trees, neural networks, k-nearest neighbours (KNN), and Bayesian classification. Through thorough testing and comparative research,we examine the effectiveness of every model, revealing its unique advantages and disadvantages. Our research reveals the most effective methodology, offering a solid and sophisticated response to the financial industry's critical problem of client attrition. This study also highlights how early detection of possible churners enables banks to create retention strategies proactively. Institutions may detect clients who are about to leave by using sophisticated analytics, which enables the tactical execution of individualized retention programs. In addition to addressing the rising issue of customer turnover, this proactive strategy gives financial institutions insightful information that they can use to build enduring client relationships ina highly competitive market. © Grenze Scientific Society, 2025.","Bank Customer Churn; Churn Forecasting; Customer Attrition; Predictive Modeling; Stratified Sampling","Banking; Bayesian networks; Classification (of information); Competition; Customer satisfaction; Decision trees; Forecasting; Learning systems; Logistic regression; Nearest neighbor search; Statistical tests; Support vector regression; Bank customer churn; Banking sectors; Churn forecasting; Customer attrition; Customer churn prediction; Customer churns; Customer retention; Machine-learning; Predictive models; Stratified sampling; Sales","Grenze Scientific Society","Conference paper","Final","","Scopus","2-s2.0-105034073444"
"Das M.; Pal P.; Srivastava G.","Das, Meghali (58893769400); Pal, Purnima (57205427359); Srivastava, Garima (60092646300)","58893769400; 57205427359; 60092646300","Customer Churn Prediction Using Machine Learning","2025","Artificial Intelligence, Machine Learning and IoT for Smart Business Management","","","","197","215","0","10.1201/9781003561873-11","https://www.scopus.com/pages/publications/105020118391?origin=resultslist","Noida Institute of Engineering and Technology, India; Mangalmay Institute of Engineering and Technology, India","Das M., Noida Institute of Engineering and Technology, India; Pal P., Noida Institute of Engineering and Technology, India; Srivastava G., Mangalmay Institute of Engineering and Technology, India","The explosive growth of the economy in various industries is resulting in a high number of paid subscribers for service companies. The banking industry creates massive amounts of information every single day from an immense number of customers. Acquiring fresh clients is more expensive than retaining existing ones. Business executives and statisticians investigate the reasons why customers discontinue subscriptions and examine the activities of those who churn data from clients. If a banking enterprise can identify consumers who are most likely to depart, it is far simpler to make proactive efforts to retain them. Knowing which consumers are likely to swap services is advantageous for banks shortly. This system employs categorization techniques to identify and gather factors for customer exit subscriptions in the banking business. The primary aim is to examine different machine learning (ML) algorithms to forecast client churn and help financial institutions discover the reasons behind it, providing retention tactics and plans. This research shows in what way ML designs like k-nearest neighbors (KNN), support vector machines (SVM), and random forest (RF) may predict which clients are most likely to quit a bank based on factors including geography, gender, age, credit card details, and the amount of balance in their bank account. The chapter also provides information such as the number of times a customer has complained about any issue, the satisfactory score based on the resolution provided, etc. It provides a successful company approach that examines churn among consumer data and provides precise forecasts of turnover customers, enabling managers to act during the churning timeframe to prevent both churn and economic loss. © 2026 selection and editorial matter, Garima Jain, Ankush Jain, Veena Grover, Balamurugan Balusamy, Praveen Tomar; individual chapters, the contributors.","","Banking; Forecasting; Learning algorithms; Learning systems; Losses; Nearest neighbor search; Sales; Service industry; Amount of information; Banking industry; Business executives; Customer churn prediction; Explosive growth; Machine learning algorithms; Machine-learning; Most likely; Service companies; Simple++; Support vector machines","CRC Press","Book chapter","Final","","Scopus","2-s2.0-105020118391"
"Gajula S.","Gajula, Sreenivasulu (60411304400)","60411304400","Intelligent Customer Churn Analytics in Digital Banking Using Advanced Machine Learning Models","2025","2025 1st International Conference on Emerging Trends in Information Systems and Informatics, ICETISI 2025","","","","","","0","10.1109/ICETISI67983.2025.11406030","https://www.scopus.com/pages/publications/105036576091?origin=resultslist","","","Predicting customer churn has turned into a key topic of research in digital banking as banks want to keep their customers and make a profit in a very competitive market. Nevertheless, ongoing researches mainly depend on traditional machine learning or deep learning models that face difficulties due to imbalanced datasets, redundant features, and high computational costs, thus restricting their use in practical scenarios. The difficulties of churn prediction challenge the study which in turn suggests a solid ensemble-based churn prediction framework by combining SMOTEENN hybrid sampling with the latest tree-based algorithms such as Extreme Gradient Boosting (XGBoost), Light Gradient Boosting Machine (LightGBM), and Grade Boosting (GB). A churn modeling dataset that is publicly available containing 10,000 customer records was used and it covers demographic, financial, as well as behavioral attributes. Classes were balanced using SMOTEENN to reduce majority-class bias in the prepossessing pipeline, which also included stages to address missing data, remove duplicates, normalize, feature-select, and perform one-hot encoding. Several measures were used to assess the model, including recall, accuracy, precision, F1-score, and AUC-ROC. The experimental outcomes showed that XGBoost hit the highest accuracy of 94.88%, while LightGBM and Gradient Boosting lined up next with accuracies of 94.68% and 92.30%, respectively. Established classifying methods and modern Voting, ensemble, deep learning, and transformer-based approaches were all surpassed in the aspects of performance as well as computational efficiency. The results demonstrate that the proposed ensemble learning architecture offers a scalable, interpretable, and highly effective solution for churn prediction in the digital banking industry. Thus, the paper presents a customer churn detection model that is methodologically comprehensive and practically applicable, which in turn, helps to support data-driven retention strategies and strategic decision-making in the financial sector. © 2025 IEEE.","Customer Churn Prediction; Digital Banking; Finance; Machine Learning; SMOTEENN","Adaptive boosting; Advanced Analytics; Banking; Behavioral research; Data mining; Decision making; Deep learning; E-learning; Electronic commerce; Forecasting; Learning systems; Sales; Churn predictions; Customer churn prediction; Customer churns; Digital banking; Gradient boosting; Key topics; Light gradients; Machine learning models; Machine-learning; SMOTEENN; Computational efficiency","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105036576091"
